ts,"Weather forecast for wind direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_direction | 128270","Weather forecast for the precipitation amount for the coming 1 hour at Bornholm | 9F7P/00/00/MET-Norway/forecast/precipitation_amount_acc | 128238","Weather forecast for the relativehumidity amount  at Bornholm | 9F7P/00/00/MET-Norway/forecast/relative_humidity_2m | 128254","Weather forecast for wind speed at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_speed | 128286","Weather forecast for the air temperature at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_2m | 128190"
"2023-06-01 00:00:00",283.48458862,0,0.85883057,2.66126704,285.20809937
"2023-06-01 01:00:00",298.25006104,0,0.87883502,2.70174289,284.77941895
"2023-06-01 02:00:00",282.41424561,0,0.92888391,2.37278247,284.25964355
"2023-06-01 03:00:00",286.57843018,0,0.95830297,2.83901739,284.02435303
"2023-06-01 04:00:00",294.91430664,0,0.92468792,3.28785419,284.39123535
"2023-06-01 05:00:00",298.83596802,0,0.8411454,3.27355957,285.31066895
"2023-06-01 06:00:00",291.44540405,0,0.77542543,2.96049285,286.49758911
"2023-06-01 07:00:00",283.42984009,0,0.7305035,3.1956687,287.49429321
"2023-06-01 08:00:00",280.63287354,0,0.70096207,3.30720878,288.36456299
"2023-06-01 09:00:00",281.26580811,0,0.67387742,3.3190105,289.20141602
"2023-06-01 10:00:00",279.25787354,0,0.66722435,3.33216405,289.80523682
"2023-06-01 11:00:00",279.78912354,0,0.65477294,3.01811361,290.49081421
"2023-06-01 12:00:00",279.50024414,0,0.62558275,2.9643352,291.12353516
"2023-06-01 13:00:00",278.01574707,0,0.60963726,2.6651113,291.519104
"2023-06-01 14:00:00",275.37503052,0,0.58140844,2.34222317,292.23535156
"2023-06-01 15:00:00",70.37506104,0,0.64969146,3.82134557,289.29922485
"2023-06-01 16:00:00",60.69536209,0,0.72899151,4.5104146,286.56759644
"2023-06-01 17:00:00",58.17969894,0.03222656,0.92702007,5.53458214,284.6434021
"2023-06-01 18:00:00",63.08594894,0.140625,0.90422356,5.13226175,284.07226562
"2023-06-01 19:00:00",75.51563263,0.15234375,0.89705223,4.73942804,283.85391235
"2023-06-01 20:00:00",80.44532776,0.15234375,0.88397574,3.99960494,283.59268188
"2023-06-01 21:00:00",80.28127289,0.15234375,0.87067032,3.70829058,283.04373169
"2023-06-01 22:00:00",78.921875,0.15234375,0.88101602,2.90510416,282.39163208
"2023-06-01 23:00:00",74.75004578,0.15234375,0.88272512,2.28104377,281.81045532
"2023-06-02 00:00:00",63.60950089,0,0.72401965,3.84650207,282.27255249
"2023-06-02 01:00:00",60.29702377,0,0.69818658,3.04524064,281.84069824
"2023-06-02 02:00:00",65.015625,0,0.68927491,2.50109434,281.42120361
"2023-06-02 03:00:00",56.05477142,0,0.72955835,1.71008933,280.52966309
"2023-06-02 04:00:00",40.21095657,0,0.73131317,1.69822526,281.06170654
"2023-06-02 05:00:00",40.8672905,0,0.61420184,2.69701314,283.11123657
"2023-06-02 06:00:00",34.06255722,0,0.56956947,2.6302433,284.13742065
"2023-06-02 07:00:00",24.05476952,0,0.53235292,2.68493342,285.08078003
"2023-06-02 08:00:00",15.90630817,0,0.54532242,2.8289144,285.80459595
"2023-06-02 09:00:00",11.88302326,0,0.5211674,2.65564299,286.78253174
"2023-06-02 10:00:00",4.85177135,0,0.39778438,2.87880588,287.66278076
"2023-06-02 11:00:00",2.03135538,0,0.37274447,3.26790881,288.50161743
"2023-06-02 12:00:00",26.1017437,0,0.38366979,3.57602167,288.57260132
"2023-06-02 13:00:00",29.50786018,0,0.34659088,2.90265846,288.54656982
"2023-06-02 14:00:00",72.75787354,0,0.43681604,2.05013871,287.97784424
"2023-06-02 15:00:00",180.56251526,0,0.49438742,1.74805212,288.00186157
"2023-06-02 16:00:00",151.00015259,0,0.60608196,2.87134099,286.27822876
"2023-06-02 17:00:00",146.64860535,0,0.62524706,2.99383116,285.53646851
"2023-06-02 18:00:00",143.08605957,0,0.57771623,2.81649661,284.54348755
"2023-06-02 19:00:00",143.35162354,0,0.64584696,2.19156766,283.45266724
"2023-06-02 20:00:00",142.77378845,0,0.66209841,1.5086751,281.90081787
"2023-06-02 21:00:00",145.00004578,0,0.70439589,1.34926701,280.89056396
"2023-06-02 22:00:00",151.78126526,0,0.73856008,1.25170076,280.27346802
"2023-06-02 23:00:00",161.85966492,0,0.75780201,0.99762434,279.71081543
"2023-06-03 00:00:00",176.65637207,0,0.84766185,0.84793651,277.72729492
"2023-06-03 01:00:00",192.55540466,0,0.84351182,0.82600868,277.73794556
"2023-06-03 02:00:00",193.97660828,0,0.84781492,1.02742612,277.67803955
"2023-06-03 03:00:00",211.19549561,0,0.85175204,1.01663947,277.9979248
"2023-06-03 04:00:00",205.35960388,0,0.81412363,1.1896174,279.4961853
"2023-06-03 05:00:00",206.15652466,0,0.69751555,2.01933527,282.69628906
"2023-06-03 06:00:00",217.7893219,0,0.5925349,3.33527732,284.89889526
"2023-06-03 07:00:00",222.21879578,0,0.51808643,3.62679291,285.92098999
"2023-06-03 08:00:00",228.1171875,0,0.49045184,3.71399784,286.72195435
"2023-06-03 09:00:00",226.0866394,0,0.55583525,3.76522541,287.15176392
"2023-06-03 10:00:00",228.46177673,0,0.57495415,3.73336077,287.49682617
"2023-06-03 11:00:00",228.83621216,0,0.55156237,3.66773868,287.83761597
"2023-06-03 12:00:00",226.28146362,0,0.53967565,3.6718297,288.165802
"2023-06-03 13:00:00",224.60235596,0,0.53856182,3.63934112,288.17907715
"2023-06-03 14:00:00",222.10992432,0,0.53283978,3.54178882,287.87783813
"2023-06-03 15:00:00",221.83610535,0,0.52591228,3.2232852,287.61880493
"2023-06-03 16:00:00",221.67211914,0,0.50426012,2.96471334,287.25695801
"2023-06-03 17:00:00",226.84379578,0,0.47665715,2.63290095,286.74298096
"2023-06-03 18:00:00",227.00845337,0,0.47722226,2.21887922,285.86001587
"2023-06-03 19:00:00",229.86720276,0,0.5737648,1.26660168,284.31484985
"2023-06-03 20:00:00",244.56271362,0,0.65651351,0.93662673,282.49935913
"2023-06-03 21:00:00",251.60186768,0,0.71106398,0.9071582,281.44577026
"2023-06-03 22:00:00",265.21102905,0,0.76340181,1.00935519,281.01605225
"2023-06-03 23:00:00",256.40628052,0,0.81387806,1.23483026,280.64758301
"2023-06-04 00:00:00",227.11082458,0,0.76099163,1.23777878,280.71783447
"2023-06-04 01:00:00",209.22660828,0,0.8576408,1.25777674,280.10195923
"2023-06-04 02:00:00",203.47659302,0,0.90895635,1.25225699,279.7824707
"2023-06-04 03:00:00",219.88288879,0,0.94423491,1.13870478,279.68554688
"2023-06-04 04:00:00",219.89898682,0,0.91306067,0.96505719,281.01696777
"2023-06-04 05:00:00",211.37512207,0,0.82628351,1.10766435,283.70187378
"2023-06-04 06:00:00",230.74234009,0,0.66638637,2.17505383,286.46142578
"2023-06-04 07:00:00",238.12539673,0,0.54097402,2.13905144,288.18313599
"2023-06-04 08:00:00",239.89064026,0,0.49893573,2.37827063,289.206604
