Model_Label_Hour,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Confusion Matrix,Hour,Label
Logistic Regression_G1_0,Logistic Regression,0.53,0.5318,0.53,0.5304233810429386,0.546366920915295,"[[28 25]
 [22 25]]",0,G1
Random Forest_G1_0,Random Forest,0.56,0.5637613019891501,0.56,0.5192156862745098,0.5421517462866319,"[[44  9]
 [35 12]]",0,G1
SVM Linear_G1_0,SVM Linear,0.52,0.5224329731892756,0.52,0.5203841536614646,0.5473705339221197,"[[27 26]
 [22 25]]",0,G1
SVM Gaussian_G1_0,SVM Gaussian,0.52,0.5146803946803946,0.52,0.5121182266009852,0.5547972701726215,"[[34 19]
 [29 18]]",0,G1
KNeighbors_G1_0,KNeighbors,0.51,0.47875415282392025,0.51,0.4356244840193419,0.5307105580088318,"[[45  8]
 [41  6]]",0,G1
Logistic Regression_G2_0,Logistic Regression,0.53,0.5318,0.53,0.5304233810429386,0.5419510236852669,"[[25 22]
 [25 28]]",0,G2
Random Forest_G2_0,Random Forest,0.61,0.6271491228070175,0.61,0.581598427775958,0.5529907667603372,"[[16 31]
 [ 8 45]]",0,G2
SVM Linear_G2_0,SVM Linear,0.53,0.5345652173913044,0.53,0.5296709670967097,0.5491770373344038,"[[27 20]
 [27 26]]",0,G2
SVM Gaussian_G2_0,SVM Gaussian,0.54,0.5357957957957958,0.54,0.5324466338259441,0.5804897631473304,"[[19 28]
 [18 35]]",0,G2
KNeighbors_G2_0,KNeighbors,0.54,0.5352696556205327,0.54,0.49048394391677974,0.539542352468888,"[[10 37]
 [ 9 44]]",0,G2
Logistic Regression_G3_0,Logistic Regression,0.46,0.6895652173913044,0.46,0.5190625,0.5846883468834689,"[[37 45]
 [ 9  9]]",0,G3
Random Forest_G3_0,Random Forest,0.82,0.7677551020408164,0.82,0.7559999999999999,0.6639566395663956,"[[81  1]
 [17  1]]",0,G3
SVM Linear_G3_0,SVM Linear,0.44,0.7094999999999999,0.44,0.49437578814627997,0.5819783197831978,"[[33 49]
 [ 7 11]]",0,G3
SVM Gaussian_G3_0,SVM Gaussian,0.66,0.7558288770053475,0.66,0.6939293139293139,0.6165311653116532,"[[57 25]
 [ 9  9]]",0,G3
KNeighbors_G3_0,KNeighbors,0.82,0.6724,0.82,0.738901098901099,0.6869918699186992,"[[82  0]
 [18  0]]",0,G3
Logistic Regression_G1_1,Logistic Regression,0.64,0.6446246487354476,0.64,0.64,0.6647932557205941,"[[32 21]
 [15 32]]",1,G1
Random Forest_G1_1,Random Forest,0.51,0.4994761904761905,0.51,0.4897708795269772,0.5188679245283019,"[[37 16]
 [33 14]]",1,G1
SVM Linear_G1_1,SVM Linear,0.66,0.6674343434343435,0.66,0.6594557823129251,0.6611802488960257,"[[32 21]
 [13 34]]",1,G1
SVM Gaussian_G1_1,SVM Gaussian,0.6,0.6419621175327829,0.6,0.5821413807358412,0.646326776395022,"[[21 32]
 [ 8 39]]",1,G1
KNeighbors_G1_1,KNeighbors,0.55,0.5632575757575757,0.55,0.4723764875586008,0.563026896828583,"[[48  5]
 [40  7]]",1,G1
Logistic Regression_G2_1,Logistic Regression,0.64,0.6446246487354476,0.64,0.64,0.6647932557205941,"[[32 15]
 [21 32]]",1,G2
Random Forest_G2_1,Random Forest,0.5,0.4887798036465638,0.5,0.48150483396385035,0.5188679245283019,"[[14 33]
 [17 36]]",1,G2
SVM Linear_G2_1,SVM Linear,0.66,0.6674343434343435,0.66,0.6594557823129251,0.6617824167001204,"[[34 13]
 [21 32]]",1,G2
SVM Gaussian_G2_1,SVM Gaussian,0.6,0.6419621175327829,0.6,0.5821413807358412,0.6467282215977519,"[[39  8]
 [32 21]]",1,G2
KNeighbors_G2_1,KNeighbors,0.55,0.5467255717255718,0.55,0.5224786970121885,0.563026896828583,"[[14 33]
 [12 41]]",1,G2
Logistic Regression_G3_1,Logistic Regression,0.59,0.7982015254917704,0.59,0.6444861545591472,0.6130952380952381,"[[48 36]
 [ 5 11]]",1,G3
Random Forest_G3_1,Random Forest,0.83,0.7634364261168385,0.83,0.7779470776388486,0.42373511904761907,"[[82  2]
 [15  1]]",1,G3
SVM Linear_G3_1,SVM Linear,0.51,0.7786666666666666,0.51,0.5705076973468719,0.6004464285714286,"[[40 44]
 [ 5 11]]",1,G3
SVM Gaussian_G3_1,SVM Gaussian,0.57,0.7650909090909092,0.57,0.6273569996461847,0.5119047619047619,"[[48 36]
 [ 7  9]]",1,G3
KNeighbors_G3_1,KNeighbors,0.84,0.7056,0.84,0.7669565217391303,0.5066964285714285,"[[84  0]
 [16  0]]",1,G3
Logistic Regression_G1_2,Logistic Regression,0.53,0.5378571428571428,0.53,0.5274085213032582,0.5973504616619831,"[[24 29]
 [18 29]]",2,G1
Random Forest_G1_2,Random Forest,0.56,0.5579018941233609,0.56,0.5398302207130731,0.5778803693295865,"[[40 13]
 [31 16]]",2,G1
SVM Linear_G1_2,SVM Linear,0.51,0.5221006944444444,0.51,0.5007247697135337,0.5849056603773585,"[[20 33]
 [16 31]]",2,G1
SVM Gaussian_G1_2,SVM Gaussian,0.51,0.5186666666666667,0.51,0.50551904331223,0.6126053793657165,"[[22 31]
 [18 29]]",2,G1
KNeighbors_G1_2,KNeighbors,0.59,0.5945238095238095,0.59,0.5692266666666667,0.6114010437575271,"[[42 11]
 [30 17]]",2,G1
Logistic Regression_G2_2,Logistic Regression,0.53,0.5378571428571428,0.53,0.5274085213032582,0.5973504616619831,"[[29 18]
 [29 24]]",2,G2
Random Forest_G2_2,Random Forest,0.55,0.545952380952381,0.55,0.5314222363002851,0.5778803693295864,"[[16 31]
 [14 39]]",2,G2
SVM Linear_G2_2,SVM Linear,0.51,0.5221006944444444,0.51,0.5007247697135337,0.586109995985548,"[[31 16]
 [33 20]]",2,G2
SVM Gaussian_G2_2,SVM Gaussian,0.51,0.5186666666666667,0.51,0.50551904331223,0.6126053793657166,"[[29 18]
 [31 22]]",2,G2
KNeighbors_G2_2,KNeighbors,0.62,0.6189582472095907,0.62,0.6172240259740259,0.6114010437575271,"[[25 22]
 [16 37]]",2,G2
Logistic Regression_G3_2,Logistic Regression,0.51,0.734357743097239,0.51,0.5744957264957266,0.4947916666666667,"[[43 41]
 [ 8  8]]",2,G3
Random Forest_G3_2,Random Forest,0.81,0.7014432989690722,0.81,0.7518232044198895,0.5673363095238095,"[[81  3]
 [16  0]]",2,G3
SVM Linear_G3_2,SVM Linear,0.51,0.7211882778000803,0.51,0.575117599351176,0.49107142857142855,"[[44 40]
 [ 9  7]]",2,G3
SVM Gaussian_G3_2,SVM Gaussian,0.6,0.76,0.6,0.6523809523809524,0.4910714285714286,"[[52 32]
 [ 8  8]]",2,G3
KNeighbors_G3_2,KNeighbors,0.84,0.7056,0.84,0.7669565217391303,0.5070684523809523,"[[84  0]
 [16  0]]",2,G3
Logistic Regression_G1_3,Logistic Regression,0.48,0.48554875560995514,0.48,0.47791666666666666,0.4993978321959053,"[[22 31]
 [21 26]]",3,G1
Random Forest_G1_3,Random Forest,0.5,0.4887798036465638,0.5,0.48150483396385035,0.539743075070253,"[[36 17]
 [33 14]]",3,G1
SVM Linear_G1_3,SVM Linear,0.46,0.4662379150903741,0.46,0.45391304347826084,0.49538338016860695,"[[19 34]
 [20 27]]",3,G1
SVM Gaussian_G1_3,SVM Gaussian,0.57,0.5695088566827696,0.57,0.5696975178374032,0.5222802087515054,"[[32 21]
 [22 25]]",3,G1
KNeighbors_G1_3,KNeighbors,0.54,0.5352696556205327,0.54,0.49048394391677974,0.5339221196306704,"[[44  9]
 [37 10]]",3,G1
Logistic Regression_G2_3,Logistic Regression,0.48,0.48554875560995514,0.48,0.47791666666666666,0.4993978321959053,"[[26 21]
 [31 22]]",3,G2
Random Forest_G2_3,Random Forest,0.51,0.5022370766488413,0.51,0.4974437182280319,0.5397430750702529,"[[16 31]
 [18 35]]",3,G2
SVM Linear_G2_3,SVM Linear,0.46,0.4662379150903741,0.46,0.45391304347826084,0.495383380168607,"[[27 20]
 [34 19]]",3,G2
SVM Gaussian_G2_3,SVM Gaussian,0.57,0.5695088566827696,0.57,0.5696975178374032,0.5218787635487756,"[[25 22]
 [21 32]]",3,G2
KNeighbors_G2_3,KNeighbors,0.56,0.5569606512890094,0.56,0.5471666666666667,0.5339221196306705,"[[18 29]
 [15 38]]",3,G2
Logistic Regression_G3_3,Logistic Regression,0.55,0.5929292929292929,0.55,0.5553813687066627,0.5640916808149405,"[[31 31]
 [14 24]]",3,G3
Random Forest_G3_3,Random Forest,0.62,0.6062857142857143,0.62,0.609162210338681,0.5698217317487266,"[[47 15]
 [23 15]]",3,G3
SVM Linear_G3_3,SVM Linear,0.51,0.582989010989011,0.51,0.506027424682214,0.557937181663837,"[[24 38]
 [11 27]]",3,G3
SVM Gaussian_G3_3,SVM Gaussian,0.52,0.5647077922077921,0.52,0.5252027298273786,0.5311969439728352,"[[29 33]
 [15 23]]",3,G3
KNeighbors_G3_3,KNeighbors,0.61,0.5572405372405371,0.61,0.5266416353775553,0.5829796264855688,"[[57  5]
 [34  4]]",3,G3
Logistic Regression_G1_4,Logistic Regression,0.53,0.533125,0.53,0.5302350235023503,0.5652348454435969,"[[27 26]
 [21 26]]",4,G1
Random Forest_G1_4,Random Forest,0.49,0.4762380952380952,0.49,0.4689452011403231,0.5724608590927338,"[[36 17]
 [34 13]]",4,G1
SVM Linear_G1_4,SVM Linear,0.56,0.57011988424969,0.56,0.5568205539943798,0.5670413488558812,"[[25 28]
 [16 31]]",4,G1
SVM Gaussian_G1_4,SVM Gaussian,0.53,0.5441666666666667,0.53,0.5211033505415528,0.5341228422320353,"[[21 32]
 [15 32]]",4,G1
KNeighbors_G1_4,KNeighbors,0.48,0.46593735390369334,0.48,0.4607650273224044,0.5034122842232036,"[[35 18]
 [34 13]]",4,G1
Logistic Regression_G2_4,Logistic Regression,0.45,0.4670012043356082,0.45,0.453032581453634,0.46921182266009853,"[[20 22]
 [33 25]]",4,G2
Random Forest_G2_4,Random Forest,0.55,0.5215697346132129,0.55,0.5158974358974359,0.5899014778325123,"[[10 32]
 [13 45]]",4,G2
SVM Linear_G2_4,SVM Linear,0.42,0.44909090909090904,0.42,0.408792270531401,0.4700328407224959,"[[25 17]
 [41 17]]",4,G2
SVM Gaussian_G2_4,SVM Gaussian,0.54,0.5896256684491978,0.54,0.5311111111111111,0.5857963875205254,"[[31 11]
 [35 23]]",4,G2
KNeighbors_G2_4,KNeighbors,0.53,0.5087226809130646,0.53,0.5106540015285512,0.4961001642036124,"[[12 30]
 [17 41]]",4,G2
Logistic Regression_G3_4,Logistic Regression,0.53,0.533125,0.53,0.5302350235023503,0.5596146126053794,"[[26 21]
 [26 27]]",4,G3
Random Forest_G3_4,Random Forest,0.57,0.5691904761904761,0.57,0.5522479146869391,0.5562023283821759,"[[17 30]
 [13 40]]",4,G3
